Category,Subcategory,Details,Link,campus name
Basic Info,Name,Butwal Kalika Campus,https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Basic Info,Established,2013 A.D. (2070 B.S.),https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Basic Info,Type,Public Institution,https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Basic Info,Affiliation,Tribhuvan University,https://www.tu.edu.np,Butwal Kalika Campus
Basic Info,Location,"Kalikanagar, Butwal-12, Rupandehi, Nepal",https://maps.google.com/?q=Butwal+Kalika+Campus,Butwal Kalika Campus
Contact,Phone,+977-61-520384,https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Contact,Email,info@butwalkalikacampus.edu.np,https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Contact,Website,https://btlkalikacampus.edu.np,https://btlkalikacampus.edu.np/,Butwal Kalika Campus
Mission,Vision,"To become a leading educational institution in Nepal, fostering innovation and critical thinking.",None,Butwal Kalika Campus
Mission,Objectives,"1. Provide job-market-relevant education 2. Develop career-ready skills 3. Encourage innovation 4. Produce socially responsible graduates",None,Butwal Kalika Campus
Academic Programs,BBS,"Duration: 4 years | Focus: Business management, accounting, marketing",https://www.tu.edu.np/program/bbs,Butwal Kalika Campus
Academic Programs,BCA,"Duration: 4 years | Focus: Programming, software development, databases",https://www.tu.edu.np/program/bca,Butwal Kalika Campus
Academic Programs,B.Ed,"Duration: 4 years | Focus: Teaching methodologies, pedagogy",https://www.tu.edu.np/program/bed,Butwal Kalika Campus
Academic Programs,BASW,"Duration: 4 years | Focus: Social work theory & practice",https://www.tu.edu.np/program/basw,Butwal Kalika Campus
Academic Programs,MA-RD,"Duration: 2 years | Focus: Rural development strategies",https://www.tu.edu.np/program/ma-rd,Butwal Kalika Campus
Facilities,Library,"20,000+ books, e-resources",https://nepaljournals.com,Butwal Kalika Campus
Facilities,Computer Lab,"50+ PCs, high-speed internet",None,Butwal Kalika Campus
Facilities,Cafeteria,"Hygienic",None,Butwal Kalika Campus
